method,direction_id,alpha,distinct_1_micro,distinct_2_micro,distinct_3_micro
gaussian,1722,0.0,0.328804347826087,0.7453038674033149,0.8938202247191012
gaussian,1722,0.25,0.3283333333333333,0.7175141242937854,0.864367816091954
gaussian,1722,0.5,0.2755208333333333,0.6544973544973545,0.8161290322580645
gaussian,1722,1.0,0.1337719298245614,0.3445440956651719,0.5053516819571865
gaussian,1722,1.5,0.09538461538461539,0.23633440514469453,0.35353535353535354
gaussian,11663,0.0,0.328804347826087,0.7453038674033149,0.8938202247191012
gaussian,11663,0.25,0.3492849284928493,0.7718120805369127,0.9106939704209329
gaussian,11663,0.5,0.31875374475733975,0.726052471018914,0.8862647607209447
gaussian,11663,1.0,0.17526881720430107,0.6109289617486339,0.8911111111111111
gaussian,11663,1.5,0.049479166666666664,0.4343915343915344,0.8709677419354839
gaussian,29000,0.0,0.328804347826087,0.7453038674033149,0.8938202247191012
gaussian,29000,0.25,0.33943427620632277,0.7360406091370558,0.8772231784279977
gaussian,29000,0.5,0.27677564825253664,0.6479357798165137,0.8278879813302217
gaussian,29000,1.0,0.26461143224149003,0.6568434839554682,0.8603874415497662
gaussian,29000,1.5,0.2392502756339581,0.6636259977194983,0.9149940968122786
gaussian,22398,0.0,0.328804347826087,0.7453038674033149,0.8938202247191012
gaussian,22398,0.25,0.32592592592592595,0.7451612903225806,0.9109289617486339
gaussian,22398,0.5,0.2942708333333333,0.744973544973545,0.9317204301075269
gaussian,22398,1.0,0.21041666666666667,0.5989417989417989,0.843010752688172
gaussian,22398,1.5,0.16666666666666666,0.5195767195767196,0.789247311827957
